Time,Time Code,Country Name,Country Code,Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS]
2013,YR2013,Ireland,IRL,5328.57910156,51546.3547634549,0.594605554054866,10.30873108
2013,YR2013,Italy,ITA,3149.24267578,35560.0814062291,-2.97240379999698,8.77543831
2013,YR2013,Netherlands,NLD,5532.7265625,52198.8975607458,-0.42417869353261,10.58363628
2013,YR2013,Norway,NOR,9241.265625,103553.840134417,-0.197883222310097,8.92953396
2013,YR2013,Poland,POL,878.08850098,13558.3425613478,0.91745249247623,6.41485739
2013,YR2013,Portugal,PRT,2030.63012695,21653.1959752226,-0.377398248791067,9.40486622
2013,YR2013,Slovenia,SVN,2055.38134766,23503.2824850257,-1.16352087549969,8.74028301
2013,YR2013,Sweden,SWE,6696.87207031,61126.9431963979,0.333984863287881,10.90491486
2013,YR2013,United States,USA,8431.18261719,53291.1276891406,1.13869234666606,15.98693848
2013,YR2013,United Kingdom,GBR,4317.12060547,43449.0917173139,1.14021296406929,9.84154701
2014,YR2014,Austria,AUT,5393.60205078,51786.3771747897,-0.122370667337563,10.36809158
2014,YR2014,Canada,CAN,5231.94775391,50955.9983232404,1.84102612431141,10.25806713
2014,YR2014,Chile,CHL,1150.06164551,14666.3431168586,0.772927818124586,7.80729866
2014,YR2014,Denmark,DNK,6466.89794922,62548.9847332908,1.10543346611018,10.30918217
2014,YR2014,Estonia,EST,1287.76123047,20261.0667303883,3.28187481366284,6.36199951
2014,YR2014,France,FRA,4978.55957031,43068.5487241732,0.484564448270447,11.53414917
2014,YR2014,Germany,DEU,5307.37792969,48023.8699845455,1.7843418861469,11.02219391
2014,YR2014,Iceland,ISL,4487.53027344,54576.7448146565,0.562209388696957,8.22888947
2014,YR2014,Ireland,IRL,5329.98046875,55643.0594338739,7.85801820816963,9.54538631
2014,YR2014,Italy,ITA,3154.27587891,35565.7213771491,-0.917813879753353,8.86791801
2014,YR2014,Netherlands,NLD,5601.88574219,52900.5374153222,1.05910125427069,10.56703758
2014,YR2014,Norway,NOR,9118.31738281,97666.6951838749,0.903762650173263,9.34493446
2014,YR2014,Poland,POL,911.29815674,14181.9501803099,3.91470563333374,6.38664055
2014,YR2014,Portugal,PRT,2059.92651367,22103.7009703317,1.33711996744654,9.3428812
2014,YR2014,Slovenia,SVN,2062.38476563,24247.1733184079,2.66713405933845,8.50197601
2014,YR2014,Sweden,SWE,6605.91162109,60020.3604576572,1.64424400595537,10.9479475
2014,YR2014,United States,USA,8824.77636719,55123.8497869046,1.54038064866397,16.19240761
2014,YR2014,United Kingdom,GBR,4714.29785156,47447.5889322667,2.44246580096015,9.82684326
2015,YR2015,Austria,AUT,4612.82421875,44195.8175947748,-0.111540189504495,10.36746693
2015,YR2015,Canada,CAN,4679.97607422,43596.1355365546,-0.089285801148975,10.74362469
2015,YR2015,Chile,CHL,1133.27978516,13569.9481274733,1.10575838220048,8.30269146
2015,YR2015,Denmark,DNK,5531.87890625,53254.8563700916,1.62216625804921,10.34411812
2015,YR2015,Estonia,EST,1156.20288086,17402.0376128079,1.78627469426176,6.64135027
2015,YR2015,France,FRA,4199.06591797,36652.9223052178,0.754024352327519,11.44077206
2015,YR2015,Germany,DEU,4624.625,41103.2564363768,0.617105353219898,11.18386841
2015,YR2015,Iceland,ISL,4269.93359375,52951.6815110898,3.35414533328364,8.06978989
2015,YR2015,Ireland,IRL,4561.38916016,62053.9844381587,23.2008710727033,7.31753302
2015,YR2015,Italy,ITA,2675.67163086,30242.3861352184,0.875477401786128,8.85689163
2015,YR2015,Netherlands,NLD,4676.56201172,45193.4032187971,1.50826618391271,10.32393837
2015,YR2015,Norway,NOR,7565.54980469,74809.9658049898,0.848799124216399,10.13146877
